artists,duration_ms_x,explicit,id_x,name,popularity,search_query,acousticness,analysis_url,danceability,duration_ms_y,energy,id_y,instrumentalness,key_x,liveness,loudness_x,mode_x,speechiness,tempo_x,time_signature_x,track_href,type,uri,valence,analysis_channels,analysis_sample_rate,duration,end_of_fade_in,id,key_y,key_confidence,loudness_y,mode_y,mode_confidence,num_samples,offset_seconds,sample_md5,start_of_fade_out,tempo_y,tempo_confidence,time_signature_y,time_signature_confidence,window_seconds
Drake,184960,True,3szf2z1Cy1QMrtHrbn8rz9,Elevate,72,drake elevate,0.015,https://api.spotify.com/v1/audio-analysis/3szf2z1Cy1QMrtHrbn8rz9,0.758,184960,0.474,3szf2z1Cy1QMrtHrbn8rz9,0.0,1,0.116,-8.72,1,0.146,76.062,4,https://api.spotify.com/v1/tracks/3szf2z1Cy1QMrtHrbn8rz9,audio_features,spotify:track:3szf2z1Cy1QMrtHrbn8rz9,0.0541,1,22050,184.96,0.0,3szf2z1Cy1QMrtHrbn8rz9,1,0.578,-8.72,1,0.786,4078368,0,,176.64,76.062,0.501,4,0.996,0
Drake,302173,True,5Psnhdkyanjpgc2P8A5TSM,Emotionless,72,drake emotionless,0.0249,https://api.spotify.com/v1/audio-analysis/5Psnhdkyanjpgc2P8A5TSM,0.413,302173,0.677,5Psnhdkyanjpgc2P8A5TSM,0.0,1,0.0793,-5.12,1,0.255,172.501,4,https://api.spotify.com/v1/tracks/5Psnhdkyanjpgc2P8A5TSM,audio_features,spotify:track:5Psnhdkyanjpgc2P8A5TSM,0.0845,1,22050,302.17333,0.20317,5Psnhdkyanjpgc2P8A5TSM,1,0.0,-5.12,1,0.319,6662922,0,,288.35701,172.501,0.081,4,0.99,0
Drake,210937,True,343YBumqHu19cGoGARUTsd,Fake Love,76,drake fake love,0.108,https://api.spotify.com/v1/audio-analysis/343YBumqHu19cGoGARUTsd,0.927,210937,0.488,343YBumqHu19cGoGARUTsd,0.0,9,0.196,-9.433,0,0.42,133.987,4,https://api.spotify.com/v1/tracks/343YBumqHu19cGoGARUTsd,audio_features,spotify:track:343YBumqHu19cGoGARUTsd,0.605,1,22050,210.93723,0.0,343YBumqHu19cGoGARUTsd,9,0.208,-9.433,0,0.223,4651166,0,,210.93724,133.987,0.661,4,1.0,0
Drake,219960,True,44Du2IM1bGY7dicmLfXbUs,Final Fantasy,69,drake final fantasy,0.422,https://api.spotify.com/v1/audio-analysis/44Du2IM1bGY7dicmLfXbUs,0.5,219960,0.448,44Du2IM1bGY7dicmLfXbUs,8.03e-06,0,0.115,-10.977,1,0.442,144.204,1,https://api.spotify.com/v1/tracks/44Du2IM1bGY7dicmLfXbUs,audio_features,spotify:track:44Du2IM1bGY7dicmLfXbUs,0.104,1,22050,219.96,0.12785,44Du2IM1bGY7dicmLfXbUs,0,0.124,-10.977,1,0.319,4850118,0,,216.46222,144.204,0.05,1,0.615,0
Drake,182080,False,2WP8G2pdddDmnh1xbfKBOI,Finesse,71,drake finesse,0.133,https://api.spotify.com/v1/audio-analysis/2WP8G2pdddDmnh1xbfKBOI,0.807,182080,0.32,2WP8G2pdddDmnh1xbfKBOI,0.000328,0,0.101,-8.152,0,0.0582,94.99,4,https://api.spotify.com/v1/tracks/2WP8G2pdddDmnh1xbfKBOI,audio_features,spotify:track:2WP8G2pdddDmnh1xbfKBOI,0.298,1,22050,182.08,0.17356,2WP8G2pdddDmnh1xbfKBOI,0,0.526,-8.152,0,0.604,4014864,0,,179.47283,94.99,0.33,4,1.0,0
Drake,218673,True,05KOgYg8PGeJyyWBPi5ja8,Free Smoke,67,drake free smoke,0.0621,https://api.spotify.com/v1/audio-analysis/05KOgYg8PGeJyyWBPi5ja8,0.617,218674,0.492,05KOgYg8PGeJyyWBPi5ja8,0.0,10,0.484,-7.588,0,0.448,141.953,4,https://api.spotify.com/v1/tracks/05KOgYg8PGeJyyWBPi5ja8,audio_features,spotify:track:05KOgYg8PGeJyyWBPi5ja8,0.208,1,22050,218.67383,0.0,05KOgYg8PGeJyyWBPi5ja8,10,0.577,-7.588,0,0.512,4821758,0,,218.67383,141.953,0.353,4,1.0,0
"Drake, Black Coffee, Jorja Smith",250337,True,7y6c07pgjZvtHI9kuMVqk1,Get It Together,69,drake get it together,0.0896,https://api.spotify.com/v1/audio-analysis/7y6c07pgjZvtHI9kuMVqk1,0.78,250337,0.729,7y6c07pgjZvtHI9kuMVqk1,0.422,5,0.104,-9.138,0,0.0493,123.009,4,https://api.spotify.com/v1/tracks/7y6c07pgjZvtHI9kuMVqk1,audio_features,spotify:track:7y6c07pgjZvtHI9kuMVqk1,0.844,1,22050,250.33719,0.0,7y6c07pgjZvtHI9kuMVqk1,5,0.594,-9.138,0,0.562,5519935,0,,223.93324,123.009,0.845,4,1.0,0
"Drake, Kanye West",206119,True,28irpKCCK9nn9DZSik2zEx,Glow,60,drake glow,0.227,https://api.spotify.com/v1/audio-analysis/28irpKCCK9nn9DZSik2zEx,0.669,206120,0.385,28irpKCCK9nn9DZSik2zEx,0.0,0,0.7,-8.901,1,0.378,162.039,4,https://api.spotify.com/v1/tracks/28irpKCCK9nn9DZSik2zEx,audio_features,spotify:track:28irpKCCK9nn9DZSik2zEx,0.391,1,22050,206.11982,0.0,28irpKCCK9nn9DZSik2zEx,0,0.0,-8.901,1,0.111,4544942,0,,206.11981,162.039,0.129,4,1.0,0
Drake,198973,True,6DCZcSspjsKoFjzjrWoCdn,God's Plan,88,drake god's plan,0.0332,https://api.spotify.com/v1/audio-analysis/6DCZcSspjsKoFjzjrWoCdn,0.754,198973,0.449,6DCZcSspjsKoFjzjrWoCdn,8.29e-05,7,0.552,-9.211,1,0.109,77.169,4,https://api.spotify.com/v1/tracks/6DCZcSspjsKoFjzjrWoCdn,audio_features,spotify:track:6DCZcSspjsKoFjzjrWoCdn,0.357,1,22050,198.97333,0.0,6DCZcSspjsKoFjzjrWoCdn,7,0.236,-9.211,1,0.234,4387362,0,,185.37651,77.169,0.468,4,0.955,0
Drake,189229,True,6UjfByV1lDLW0SOVQA4NAi,Gyalchester,72,drake gyalchester,0.0343,https://api.spotify.com/v1/audio-analysis/6UjfByV1lDLW0SOVQA4NAi,0.872,189230,0.389,6UjfByV1lDLW0SOVQA4NAi,0.000679,1,0.0941,-8.343,1,0.0634,131.012,4,https://api.spotify.com/v1/tracks/6UjfByV1lDLW0SOVQA4NAi,audio_features,spotify:track:6UjfByV1lDLW0SOVQA4NAi,0.156,1,22050,189.22952,0.0,6UjfByV1lDLW0SOVQA4NAi,1,0.327,-8.343,1,0.221,4172511,0,,178.90395,131.012,0.681,4,0.995,0
Drake,214466,True,3qN5qMTKyEEmiTZD38BNTT,I'm Upset,78,drake i'm upset,0.279,https://api.spotify.com/v1/audio-analysis/3qN5qMTKyEEmiTZD38BNTT,0.899,214467,0.586,3qN5qMTKyEEmiTZD38BNTT,0.0,11,0.0836,-7.866,0,0.344,150.001,4,https://api.spotify.com/v1/tracks/3qN5qMTKyEEmiTZD38BNTT,audio_features,spotify:track:3qN5qMTKyEEmiTZD38BNTT,0.492,1,22050,214.46667,0.0,3qN5qMTKyEEmiTZD38BNTT,11,0.604,-7.866,0,0.559,4728990,0,,192.55728,150.001,0.411,4,1.0,0
"Drake, Young Thug",250770,True,7bJ4mu7MHa3rHiNyKjOoSl,Ice Melts,65,drake ice melts,0.0754,https://api.spotify.com/v1/audio-analysis/7bJ4mu7MHa3rHiNyKjOoSl,0.813,250770,0.558,7bJ4mu7MHa3rHiNyKjOoSl,0.0,9,0.385,-7.559,1,0.337,124.949,4,https://api.spotify.com/v1/tracks/7bJ4mu7MHa3rHiNyKjOoSl,audio_features,spotify:track:7bJ4mu7MHa3rHiNyKjOoSl,0.631,1,22050,250.77007,0.0,7bJ4mu7MHa3rHiNyKjOoSl,9,0.221,-7.559,1,0.174,5529480,0,,245.55683,124.949,0.58,4,1.0,0
Drake,217925,True,2G7V7zsVDxg1yRsu7Ew9RJ,In My Feelings,87,drake in my feelings,0.0589,https://api.spotify.com/v1/audio-analysis/2G7V7zsVDxg1yRsu7Ew9RJ,0.835,217925,0.626,2G7V7zsVDxg1yRsu7Ew9RJ,6e-05,1,0.396,-5.833,1,0.125,91.03,4,https://api.spotify.com/v1/tracks/2G7V7zsVDxg1yRsu7Ew9RJ,audio_features,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,0.35,1,22050,217.92535,0.0,2G7V7zsVDxg1yRsu7Ew9RJ,1,0.0,-5.833,1,0.181,4805254,0,,213.31011,91.03,0.047,4,1.0,0
Drake,226906,True,1Tnw0ItH1Macok8gblnPPd,Is There More,68,drake is there more,0.727,https://api.spotify.com/v1/audio-analysis/1Tnw0ItH1Macok8gblnPPd,0.698,226907,0.547,1Tnw0ItH1Macok8gblnPPd,0.0,1,0.159,-7.607,1,0.315,83.801,4,https://api.spotify.com/v1/tracks/1Tnw0ItH1Macok8gblnPPd,audio_features,spotify:track:1Tnw0ItH1Macok8gblnPPd,0.548,1,22050,226.90667,0.06381,1Tnw0ItH1Macok8gblnPPd,1,0.698,-7.607,1,0.735,5003292,0,,222.51683,83.801,0.363,4,1.0,0
Drake,262453,True,4c2xt1trwYZpMqPWY35Xi9,Jaded,72,drake jaded,0.037,https://api.spotify.com/v1/audio-analysis/4c2xt1trwYZpMqPWY35Xi9,0.766,262453,0.271,4c2xt1trwYZpMqPWY35Xi9,0.0,0,0.175,-5.697,1,0.0412,116.02,4,https://api.spotify.com/v1/tracks/4c2xt1trwYZpMqPWY35Xi9,audio_features,spotify:track:4c2xt1trwYZpMqPWY35Xi9,0.0371,1,22050,262.45333,0.0,4c2xt1trwYZpMqPWY35Xi9,0,0.418,-5.697,1,0.357,5787096,0,,255.74458,116.02,0.186,4,1.0,0
Drake,107673,True,13e6f8t7RKXuxZ0JdaaJRG,Jorja Interlude,64,drake jorja interlude,0.755,https://api.spotify.com/v1/audio-analysis/13e6f8t7RKXuxZ0JdaaJRG,0.719,107673,0.354,13e6f8t7RKXuxZ0JdaaJRG,0.00969,11,0.349,-10.461,1,0.104,123.152,4,https://api.spotify.com/v1/tracks/13e6f8t7RKXuxZ0JdaaJRG,audio_features,spotify:track:13e6f8t7RKXuxZ0JdaaJRG,0.205,1,22050,107.67333,0.0,13e6f8t7RKXuxZ0JdaaJRG,11,0.049,-10.461,1,0.284,2374197,0,,107.67333,123.152,0.306,4,0.894,0
"Drake, Giggs",162637,True,2jTujnt0y344ai1rNOywgr,KMT,67,drake kmt,0.0143,https://api.spotify.com/v1/audio-analysis/2jTujnt0y344ai1rNOywgr,0.872,162638,0.623,2jTujnt0y344ai1rNOywgr,0.0214,1,0.125,-6.984,1,0.0446,119.983,4,https://api.spotify.com/v1/tracks/2jTujnt0y344ai1rNOywgr,audio_features,spotify:track:2jTujnt0y344ai1rNOywgr,0.0883,1,22050,162.63755,0.0,2jTujnt0y344ai1rNOywgr,1,0.704,-6.984,1,0.687,3586158,0,,162.63756,119.983,0.364,4,1.0,0
Drake,305373,True,2Na0z2gfN67Rzf0vp74Wi3,Lose You,61,drake lose you,0.736,https://api.spotify.com/v1/audio-analysis/2Na0z2gfN67Rzf0vp74Wi3,0.519,305374,0.576,2Na0z2gfN67Rzf0vp74Wi3,0.0,4,0.371,-9.162,1,0.414,87.983,4,https://api.spotify.com/v1/tracks/2Na0z2gfN67Rzf0vp74Wi3,audio_features,spotify:track:2Na0z2gfN67Rzf0vp74Wi3,0.373,1,22050,305.37383,0.0,2Na0z2gfN67Rzf0vp74Wi3,4,0.483,-9.162,1,0.416,6733493,0,,283.1093,87.983,0.149,4,1.0,0
Drake,205162,False,76gUmNLXGQVOsGhfcshkFP,Madiba Riddim,66,drake madiba riddim,0.235,https://api.spotify.com/v1/audio-analysis/76gUmNLXGQVOsGhfcshkFP,0.834,205163,0.527,76gUmNLXGQVOsGhfcshkFP,0.00968,7,0.632,-10.4,1,0.193,105.86,4,https://api.spotify.com/v1/tracks/76gUmNLXGQVOsGhfcshkFP,audio_features,spotify:track:76gUmNLXGQVOsGhfcshkFP,0.319,1,22050,205.16286,0.0,76gUmNLXGQVOsGhfcshkFP,7,0.196,-10.4,1,0.522,4523841,0,,205.16286,105.86,0.951,4,1.0,0
Drake,309560,True,09lmraDvzBT3pUQ2rUtJzK,March 14,65,drake march 14,0.406,https://api.spotify.com/v1/audio-analysis/09lmraDvzBT3pUQ2rUtJzK,0.558,309560,0.415,09lmraDvzBT3pUQ2rUtJzK,0.0,10,0.36,-7.355,0,0.358,127.096,4,https://api.spotify.com/v1/tracks/09lmraDvzBT3pUQ2rUtJzK,audio_features,spotify:track:09lmraDvzBT3pUQ2rUtJzK,0.317,1,22050,309.56,0.0,09lmraDvzBT3pUQ2rUtJzK,10,0.052,-7.355,0,0.27,6825798,0,,275.46413,127.096,0.15,4,0.731,0
Drake,205146,True,7rC5Pl8rQSX4myONQHYPBK,Mob Ties,79,drake mob ties,0.0456,https://api.spotify.com/v1/audio-analysis/7rC5Pl8rQSX4myONQHYPBK,0.755,205147,0.575,7rC5Pl8rQSX4myONQHYPBK,0.00124,4,0.276,-8.393,0,0.0678,85.987,4,https://api.spotify.com/v1/tracks/7rC5Pl8rQSX4myONQHYPBK,audio_features,spotify:track:7rC5Pl8rQSX4myONQHYPBK,0.49,1,22050,205.14667,0.0,7rC5Pl8rQSX4myONQHYPBK,4,0.484,-8.393,0,0.359,4523484,0,,200.31855,85.987,0.711,4,1.0,0
Drake,210746,True,3CA9pLiwRIGtUBiMjbZmRw,Nice For What,85,drake nice for what,0.0891,https://api.spotify.com/v1/audio-analysis/3CA9pLiwRIGtUBiMjbZmRw,0.586,210747,0.909,3CA9pLiwRIGtUBiMjbZmRw,0.000109,8,0.119,-6.474,1,0.0705,93.394,4,https://api.spotify.com/v1/tracks/3CA9pLiwRIGtUBiMjbZmRw,audio_features,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,0.757,1,22050,210.74667,0.0,3CA9pLiwRIGtUBiMjbZmRw,8,0.24,-6.474,1,0.455,4646964,0,,198.29261,93.394,0.115,4,1.0,0
"Drake, Giggs",149568,True,6CfrYuD3YRDYdYvH9jNtXY,No Long Talk,65,drake no long talk,0.0626,https://api.spotify.com/v1/audio-analysis/6CfrYuD3YRDYdYvH9jNtXY,0.919,149569,0.627,6CfrYuD3YRDYdYvH9jNtXY,0.0,10,0.529,-6.764,0,0.234,97.076,4,https://api.spotify.com/v1/tracks/6CfrYuD3YRDYdYvH9jNtXY,audio_features,spotify:track:6CfrYuD3YRDYdYvH9jNtXY,0.52,1,22050,149.56857,0.0,6CfrYuD3YRDYdYvH9jNtXY,10,0.536,-6.764,0,0.538,3297987,0,,149.56857,97.076,0.964,4,1.0,0
Drake,238614,True,0TlLq3lA83rQOYtrqBqSct,Nonstop,87,drake nonstop,0.0164,https://api.spotify.com/v1/audio-analysis/0TlLq3lA83rQOYtrqBqSct,0.912,238614,0.412,0TlLq3lA83rQOYtrqBqSct,0.013,7,0.104,-8.074,1,0.124,154.983,4,https://api.spotify.com/v1/tracks/0TlLq3lA83rQOYtrqBqSct,audio_features,spotify:track:0TlLq3lA83rQOYtrqBqSct,0.422,1,22050,238.61429,0.0,0TlLq3lA83rQOYtrqBqSct,7,0.319,-8.074,1,0.111,5261445,0,,234.64345,154.983,0.843,4,0.911,0
Drake,153724,False,6MbH1QiphMCPTqVEVC7UYi,Nothings Into Somethings,62,drake nothings into somethings,0.379,https://api.spotify.com/v1/audio-analysis/6MbH1QiphMCPTqVEVC7UYi,0.76,153725,0.227,6MbH1QiphMCPTqVEVC7UYi,0.0017,11,0.355,-8.327,0,0.15,96.912,4,https://api.spotify.com/v1/tracks/6MbH1QiphMCPTqVEVC7UYi,audio_features,spotify:track:6MbH1QiphMCPTqVEVC7UYi,0.279,1,22050,153.72463,0.0,6MbH1QiphMCPTqVEVC7UYi,11,0.432,-8.327,0,0.483,3389628,0,,147.27256,96.912,0.363,4,1.0,0
Drake,298940,True,5mCPDVBb16L4XQwDdbRUpz,Passionfruit,82,drake passionfruit,0.304,https://api.spotify.com/v1/audio-analysis/5mCPDVBb16L4XQwDdbRUpz,0.804,298941,0.459,5mCPDVBb16L4XQwDdbRUpz,0.0862,11,0.11,-11.556,1,0.039,111.963,4,https://api.spotify.com/v1/tracks/5mCPDVBb16L4XQwDdbRUpz,audio_features,spotify:track:5mCPDVBb16L4XQwDdbRUpz,0.372,1,22050,298.94077,0.0,5mCPDVBb16L4XQwDdbRUpz,11,0.677,-11.556,1,0.596,6591644,0,,298.94077,111.963,0.708,4,0.829,0
Drake,206026,True,11L064movtyopGdLiX4sVg,Peak,68,drake peak,0.85,https://api.spotify.com/v1/audio-analysis/11L064movtyopGdLiX4sVg,0.686,206027,0.215,11L064movtyopGdLiX4sVg,0.000123,9,0.106,-13.54,0,0.0387,91.998,4,https://api.spotify.com/v1/tracks/11L064movtyopGdLiX4sVg,audio_features,spotify:track:11L064movtyopGdLiX4sVg,0.273,1,22050,206.02667,0.0,11L064movtyopGdLiX4sVg,9,0.476,-13.54,0,0.502,4542888,0,,190.36299,91.998,0.372,4,0.99,0
"Drake, Quavo, Travis Scott",236614,True,2bjwRfXMk4uRgOD9IBYl9h,Portland,76,drake portland,0.0143,https://api.spotify.com/v1/audio-analysis/2bjwRfXMk4uRgOD9IBYl9h,0.924,236615,0.444,2bjwRfXMk4uRgOD9IBYl9h,0.0,1,0.26,-8.227,1,0.243,136.088,4,https://api.spotify.com/v1/tracks/2bjwRfXMk4uRgOD9IBYl9h,audio_features,spotify:track:2bjwRfXMk4uRgOD9IBYl9h,0.314,1,22050,236.61492,0.0,2bjwRfXMk4uRgOD9IBYl9h,1,0.988,-8.227,1,0.671,5217359,0,,227.86902,136.088,0.673,4,1.0,0
Drake,207306,True,4SUwJA3eUVNHExxMPEUhQe,Ratchet Happy Birthday,66,drake ratchet happy birthday,0.106,https://api.spotify.com/v1/audio-analysis/4SUwJA3eUVNHExxMPEUhQe,0.657,207307,0.571,4SUwJA3eUVNHExxMPEUhQe,0.00121,2,0.0735,-12.519,1,0.14,167.961,4,https://api.spotify.com/v1/tracks/4SUwJA3eUVNHExxMPEUhQe,audio_features,spotify:track:4SUwJA3eUVNHExxMPEUhQe,0.626,1,22050,207.30667,0.0,4SUwJA3eUVNHExxMPEUhQe,2,0.0,-12.519,1,0.326,4571112,0,,187.77977,167.961,0.125,4,1.0,0
"Drake, 2 Chainz, Young Thug",307593,True,0xl1w2q4VLojeXp4JfazPL,Sacrifices,66,drake sacrifices,0.0463,https://api.spotify.com/v1/audio-analysis/0xl1w2q4VLojeXp4JfazPL,0.903,307593,0.432,0xl1w2q4VLojeXp4JfazPL,0.0,8,0.111,-11.885,1,0.426,139.028,4,https://api.spotify.com/v1/tracks/0xl1w2q4VLojeXp4JfazPL,audio_features,spotify:track:0xl1w2q4VLojeXp4JfazPL,0.555,1,22050,307.59315,0.0,0xl1w2q4VLojeXp4JfazPL,8,0.768,-11.885,1,0.602,6782429,0,,302.16707,139.028,0.333,4,1.0,0
Drake,216333,True,6cblRiEGDRNZgowcm951R3,Sandra’s Rose,69,drake sandra's rose,0.0481,https://api.spotify.com/v1/audio-analysis/6cblRiEGDRNZgowcm951R3,0.487,216333,0.849,6cblRiEGDRNZgowcm951R3,0.0,1,0.143,-5.432,1,0.246,152.093,4,https://api.spotify.com/v1/tracks/6cblRiEGDRNZgowcm951R3,audio_features,spotify:track:6cblRiEGDRNZgowcm951R3,0.52,1,22050,216.33333,0.0,6cblRiEGDRNZgowcm951R3,1,0.387,-5.432,1,0.516,4770150,0,,201.64209,152.093,0.291,4,1.0,0
Drake,234373,False,6Na5uKk5SsqZimk0hAWo8y,Signs,73,drake signs,0.0853,https://api.spotify.com/v1/audio-analysis/6Na5uKk5SsqZimk0hAWo8y,0.79,234373,0.734,6Na5uKk5SsqZimk0hAWo8y,0.00409,0,0.112,-4.66,1,0.0524,107.369,4,https://api.spotify.com/v1/tracks/6Na5uKk5SsqZimk0hAWo8y,audio_features,spotify:track:6Na5uKk5SsqZimk0hAWo8y,0.223,1,22050,234.37333,2.39166,6Na5uKk5SsqZimk0hAWo8y,0,0.14,-4.66,1,0.328,5167932,0,,213.55392,107.369,0.892,4,1.0,0
"Drake, PARTYNEXTDOOR",368035,False,5JUu0unA8VwhTZ9LkMWUVI,Since Way Back,61,drake since way back,0.352,https://api.spotify.com/v1/audio-analysis/5JUu0unA8VwhTZ9LkMWUVI,0.429,368036,0.275,5JUu0unA8VwhTZ9LkMWUVI,6.58e-06,0,0.185,-11.156,1,0.161,76.683,4,https://api.spotify.com/v1/tracks/5JUu0unA8VwhTZ9LkMWUVI,audio_features,spotify:track:5JUu0unA8VwhTZ9LkMWUVI,0.258,1,22050,368.03592,0.0,5JUu0unA8VwhTZ9LkMWUVI,0,0.501,-11.156,1,0.612,8115192,0,,363.54902,76.683,0.01,4,0.379,0
Drake,143213,True,2dfqS3MRtbLZSZA1IL8xY5,Skepta Interlude,61,drake skepta interlude,0.0117,https://api.spotify.com/v1/audio-analysis/2dfqS3MRtbLZSZA1IL8xY5,0.801,143214,0.813,2dfqS3MRtbLZSZA1IL8xY5,3.79e-06,7,0.157,-6.404,1,0.23,129.962,4,https://api.spotify.com/v1/tracks/2dfqS3MRtbLZSZA1IL8xY5,audio_features,spotify:track:2dfqS3MRtbLZSZA1IL8xY5,0.403,1,22050,143.21365,2.45551,2dfqS3MRtbLZSZA1IL8xY5,7,0.462,-6.404,1,0.66,3157861,0,,136.35338,129.962,0.144,4,1.0,0
Drake,247893,False,4HG1YiGBseVKzjyKcmAJen,Summer Games,70,drake summer games,0.477,https://api.spotify.com/v1/audio-analysis/4HG1YiGBseVKzjyKcmAJen,0.775,247893,0.482,4HG1YiGBseVKzjyKcmAJen,0.0456,1,0.11,-11.269,1,0.0357,136.016,4,https://api.spotify.com/v1/tracks/4HG1YiGBseVKzjyKcmAJen,audio_features,spotify:track:4HG1YiGBseVKzjyKcmAJen,0.134,1,22050,247.89333,0.0,4HG1YiGBseVKzjyKcmAJen,1,0.067,-11.269,1,0.188,5466048,0,,230.6322,136.016,0.854,4,0.942,0
Drake,136186,True,2yg9UN4eo5eMVJ7OB4RWj3,Survival,69,drake survival,0.133,https://api.spotify.com/v1/audio-analysis/2yg9UN4eo5eMVJ7OB4RWj3,0.607,136187,0.596,2yg9UN4eo5eMVJ7OB4RWj3,0.0,9,0.123,-9.09,0,0.358,77.324,4,https://api.spotify.com/v1/tracks/2yg9UN4eo5eMVJ7OB4RWj3,audio_features,spotify:track:2yg9UN4eo5eMVJ7OB4RWj3,0.149,1,22050,136.18667,0.0,2yg9UN4eo5eMVJ7OB4RWj3,9,0.231,-9.09,0,0.286,3002916,0,,133.8224,77.324,0.229,4,0.583,0
"Drake, JAY Z",223240,True,4ksuI04WMvUnJbHQjgs3L5,Talk Up (feat. Jay-Z),69,drake talk up,0.00359,https://api.spotify.com/v1/audio-analysis/4ksuI04WMvUnJbHQjgs3L5,0.758,223240,0.49,4ksuI04WMvUnJbHQjgs3L5,6.61e-06,11,0.292,-9.877,1,0.139,140.116,4,https://api.spotify.com/v1/tracks/4ksuI04WMvUnJbHQjgs3L5,audio_features,spotify:track:4ksuI04WMvUnJbHQjgs3L5,0.335,1,22050,223.24,0.13365,4ksuI04WMvUnJbHQjgs3L5,11,0.49,-9.877,1,0.476,4922442,0,,218.67973,140.116,0.82,4,0.985,0
Drake,219692,True,6n3HGiq4v35D6eFOSwqYuo,Teenage Fever,74,drake teenage fever,0.11,https://api.spotify.com/v1/audio-analysis/6n3HGiq4v35D6eFOSwqYuo,0.768,219692,0.282,6n3HGiq4v35D6eFOSwqYuo,0.0208,8,0.113,-10.348,0,0.0863,97.043,4,https://api.spotify.com/v1/tracks/6n3HGiq4v35D6eFOSwqYuo,audio_features,spotify:track:6n3HGiq4v35D6eFOSwqYuo,0.175,1,22050,219.69238,0.0,6n3HGiq4v35D6eFOSwqYuo,8,0.783,-10.348,0,0.697,4844217,0,,206.28608,97.043,0.309,4,0.854,0
Drake,157605,True,41a7dZcq30Ss5kPMayWRV0,That’s How You Feel,70,drake that's how you feel,0.117,https://api.spotify.com/v1/audio-analysis/41a7dZcq30Ss5kPMayWRV0,0.85,157605,0.473,41a7dZcq30Ss5kPMayWRV0,0.0105,10,0.108,-5.747,0,0.209,85.454,4,https://api.spotify.com/v1/tracks/41a7dZcq30Ss5kPMayWRV0,audio_features,spotify:track:41a7dZcq30Ss5kPMayWRV0,0.38,1,22050,157.60535,0.0,41a7dZcq30Ss5kPMayWRV0,10,0.446,-5.747,0,0.466,3475198,0,,143.77215,85.454,0.234,4,1.0,0
Dua Lipa,217946,True,76cy1WJvNGJTj78UqeA5zr,IDGAF,86,dua lipa idgaf,0.0403,https://api.spotify.com/v1/audio-analysis/76cy1WJvNGJTj78UqeA5zr,0.836,217947,0.544,76cy1WJvNGJTj78UqeA5zr,0.0,7,0.0824,-5.975,1,0.0943,97.028,4,https://api.spotify.com/v1/tracks/76cy1WJvNGJTj78UqeA5zr,audio_features,spotify:track:76cy1WJvNGJTj78UqeA5zr,0.51,1,22050,217.94667,0.21451,76cy1WJvNGJTj78UqeA5zr,7,0.75,-5.975,1,0.683,4805724,0,,211.80082,97.028,0.262,4,1.0,0
Dua Lipa,209320,False,2ekn2ttSfGqwhhate0LSR0,New Rules,85,dua lipa new rules,0.00261,https://api.spotify.com/v1/audio-analysis/2ekn2ttSfGqwhhate0LSR0,0.762,209320,0.7,2ekn2ttSfGqwhhate0LSR0,1.56e-05,9,0.153,-6.021,0,0.0694,116.073,4,https://api.spotify.com/v1/tracks/2ekn2ttSfGqwhhate0LSR0,audio_features,spotify:track:2ekn2ttSfGqwhhate0LSR0,0.608,1,22050,209.32,0.22,2ekn2ttSfGqwhhate0LSR0,9,0.584,-6.021,0,0.52,4615506,0,,205.10186,116.073,0.6,4,1.0,0
Dustin Lynch,194893,False,7pxhKtuTwofDIdgHx2DcVK,Seein' Red,62,dustin lynch seein' red,0.054,https://api.spotify.com/v1/audio-analysis/7pxhKtuTwofDIdgHx2DcVK,0.651,194893,0.808,7pxhKtuTwofDIdgHx2DcVK,0.0,1,0.0482,-4.731,0,0.0435,100.993,4,https://api.spotify.com/v1/tracks/7pxhKtuTwofDIdgHx2DcVK,audio_features,spotify:track:7pxhKtuTwofDIdgHx2DcVK,0.858,1,22050,194.89333,1.02308,7pxhKtuTwofDIdgHx2DcVK,1,0.255,-4.731,0,0.38,4297398,0,,190.40363,100.993,0.315,4,0.997,0
Dustin Lynch,205733,False,2YMhrXQYKkm4kXLcXKKd5z,Small Town Boy,76,dustin lynch small town boy,0.0251,https://api.spotify.com/v1/audio-analysis/2YMhrXQYKkm4kXLcXKKd5z,0.554,205733,0.743,2YMhrXQYKkm4kXLcXKKd5z,0.0,9,0.359,-6.016,1,0.0287,72.997,4,https://api.spotify.com/v1/tracks/2YMhrXQYKkm4kXLcXKKd5z,audio_features,spotify:track:2YMhrXQYKkm4kXLcXKKd5z,0.673,1,22050,205.73333,3.39011,2YMhrXQYKkm4kXLcXKKd5z,9,0.613,-6.016,1,0.589,4536420,0,,198.10685,72.997,0.182,4,1.0,0
